GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC03_EST_VC02,HC03_MOE_VC02,HC04_EST_VC02,HC04_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC04_EST_VC03,HC04_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC04_EST_VC04,HC04_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC04_EST_VC05,HC04_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC04_EST_VC06,HC04_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC04_EST_VC07,HC04_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC03_EST_VC08,HC03_MOE_VC08,HC04_EST_VC08,HC04_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC04_EST_VC09,HC04_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC04_EST_VC10,HC04_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC04_EST_VC11,HC04_MOE_VC11,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC04_EST_VC13,HC04_MOE_VC13,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC04_EST_VC15,HC04_MOE_VC15,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC04_EST_VC18,HC04_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC04_EST_VC19,HC04_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC03_EST_VC20,HC03_MOE_VC20,HC04_EST_VC20,HC04_MOE_VC20
Id,Id2,Geography,Households; Estimate; Total,Households; Margin of Error; Total,Families; Estimate; Total,Families; Margin of Error; Total,Married-couple families; Estimate; Total,Married-couple families; Margin of Error; Total,Nonfamily households; Estimate; Total,Nonfamily households; Margin of Error; Total,"Households; Estimate; Less than $10,000","Households; Margin of Error; Less than $10,000","Families; Estimate; Less than $10,000","Families; Margin of Error; Less than $10,000","Married-couple families; Estimate; Less than $10,000","Married-couple families; Margin of Error; Less than $10,000","Nonfamily households; Estimate; Less than $10,000","Nonfamily households; Margin of Error; Less than $10,000","Households; Estimate; $10,000 to $14,999","Households; Margin of Error; $10,000 to $14,999","Families; Estimate; $10,000 to $14,999","Families; Margin of Error; $10,000 to $14,999","Married-couple families; Estimate; $10,000 to $14,999","Married-couple families; Margin of Error; $10,000 to $14,999","Nonfamily households; Estimate; $10,000 to $14,999","Nonfamily households; Margin of Error; $10,000 to $14,999","Households; Estimate; $15,000 to $24,999","Households; Margin of Error; $15,000 to $24,999","Families; Estimate; $15,000 to $24,999","Families; Margin of Error; $15,000 to $24,999","Married-couple families; Estimate; $15,000 to $24,999","Married-couple families; Margin of Error; $15,000 to $24,999","Nonfamily households; Estimate; $15,000 to $24,999","Nonfamily households; Margin of Error; $15,000 to $24,999","Households; Estimate; $25,000 to $34,999","Households; Margin of Error; $25,000 to $34,999","Families; Estimate; $25,000 to $34,999","Families; Margin of Error; $25,000 to $34,999","Married-couple families; Estimate; $25,000 to $34,999","Married-couple families; Margin of Error; $25,000 to $34,999","Nonfamily households; Estimate; $25,000 to $34,999","Nonfamily households; Margin of Error; $25,000 to $34,999","Households; Estimate; $35,000 to $49,999","Households; Margin of Error; $35,000 to $49,999","Families; Estimate; $35,000 to $49,999","Families; Margin of Error; $35,000 to $49,999","Married-couple families; Estimate; $35,000 to $49,999","Married-couple families; Margin of Error; $35,000 to $49,999","Nonfamily households; Estimate; $35,000 to $49,999","Nonfamily households; Margin of Error; $35,000 to $49,999","Households; Estimate; $50,000 to $74,999","Households; Margin of Error; $50,000 to $74,999","Families; Estimate; $50,000 to $74,999","Families; Margin of Error; $50,000 to $74,999","Married-couple families; Estimate; $50,000 to $74,999","Married-couple families; Margin of Error; $50,000 to $74,999","Nonfamily households; Estimate; $50,000 to $74,999","Nonfamily households; Margin of Error; $50,000 to $74,999","Households; Estimate; $75,000 to $99,999","Households; Margin of Error; $75,000 to $99,999","Families; Estimate; $75,000 to $99,999","Families; Margin of Error; $75,000 to $99,999","Married-couple families; Estimate; $75,000 to $99,999","Married-couple families; Margin of Error; $75,000 to $99,999","Nonfamily households; Estimate; $75,000 to $99,999","Nonfamily households; Margin of Error; $75,000 to $99,999","Households; Estimate; $100,000 to $149,999","Households; Margin of Error; $100,000 to $149,999","Families; Estimate; $100,000 to $149,999","Families; Margin of Error; $100,000 to $149,999","Married-couple families; Estimate; $100,000 to $149,999","Married-couple families; Margin of Error; $100,000 to $149,999","Nonfamily households; Estimate; $100,000 to $149,999","Nonfamily households; Margin of Error; $100,000 to $149,999","Households; Estimate; $150,000 to $199,999","Households; Margin of Error; $150,000 to $199,999","Families; Estimate; $150,000 to $199,999","Families; Margin of Error; $150,000 to $199,999","Married-couple families; Estimate; $150,000 to $199,999","Married-couple families; Margin of Error; $150,000 to $199,999","Nonfamily households; Estimate; $150,000 to $199,999","Nonfamily households; Margin of Error; $150,000 to $199,999","Households; Estimate; $200,000 or more","Households; Margin of Error; $200,000 or more","Families; Estimate; $200,000 or more","Families; Margin of Error; $200,000 or more","Married-couple families; Estimate; $200,000 or more","Married-couple families; Margin of Error; $200,000 or more","Nonfamily households; Estimate; $200,000 or more","Nonfamily households; Margin of Error; $200,000 or more",Households; Estimate; Median income (dollars),Households; Margin of Error; Median income (dollars),Families; Estimate; Median income (dollars),Families; Margin of Error; Median income (dollars),Married-couple families; Estimate; Median income (dollars),Married-couple families; Margin of Error; Median income (dollars),Nonfamily households; Estimate; Median income (dollars),Nonfamily households; Margin of Error; Median income (dollars),Households; Estimate; Mean income (dollars),Households; Margin of Error; Mean income (dollars),Families; Estimate; Mean income (dollars),Families; Margin of Error; Mean income (dollars),Married-couple families; Estimate; Mean income (dollars),Married-couple families; Margin of Error; Mean income (dollars),Nonfamily households; Estimate; Mean income (dollars),Nonfamily households; Margin of Error; Mean income (dollars),Households; Estimate; PERCENT ALLOCATED - Household income in the past 12 months,Households; Margin of Error; PERCENT ALLOCATED - Household income in the past 12 months,Families; Estimate; PERCENT ALLOCATED - Household income in the past 12 months,Families; Margin of Error; PERCENT ALLOCATED - Household income in the past 12 months,Married-couple families; Estimate; PERCENT ALLOCATED - Household income in the past 12 months,Married-couple families; Margin of Error; PERCENT ALLOCATED - Household income in the past 12 months,Nonfamily households; Estimate; PERCENT ALLOCATED - Household income in the past 12 months,Nonfamily households; Margin of Error; PERCENT ALLOCATED - Household income in the past 12 months,Households; Estimate; PERCENT ALLOCATED - Family income in the past 12 months,Households; Margin of Error; PERCENT ALLOCATED - Family income in the past 12 months,Families; Estimate; PERCENT ALLOCATED - Family income in the past 12 months,Families; Margin of Error; PERCENT ALLOCATED - Family income in the past 12 months,Married-couple families; Estimate; PERCENT ALLOCATED - Family income in the past 12 months,Married-couple families; Margin of Error; PERCENT ALLOCATED - Family income in the past 12 months,Nonfamily households; Estimate; PERCENT ALLOCATED - Family income in the past 12 months,Nonfamily households; Margin of Error; PERCENT ALLOCATED - Family income in the past 12 months,Households; Estimate; PERCENT ALLOCATED - Nonfamily income in the past 12 months,Households; Margin of Error; PERCENT ALLOCATED - Nonfamily income in the past 12 months,Families; Estimate; PERCENT ALLOCATED - Nonfamily income in the past 12 months,Families; Margin of Error; PERCENT ALLOCATED - Nonfamily income in the past 12 months,Married-couple families; Estimate; PERCENT ALLOCATED - Nonfamily income in the past 12 months,Married-couple families; Margin of Error; PERCENT ALLOCATED - Nonfamily income in the past 12 months,Nonfamily households; Estimate; PERCENT ALLOCATED - Nonfamily income in the past 12 months,Nonfamily households; Margin of Error; PERCENT ALLOCATED - Nonfamily income in the past 12 months
0400000US01,01,Alabama,1852518,12189,1208362,12930,864330,11285,644156,10818,9.5,0.3,5.6,0.3,2.0,0.2,17.8,0.8,6.5,0.3,3.4,0.3,1.6,0.2,12.5,0.7,12.2,0.4,9.3,0.4,5.8,0.4,18.4,0.8,11.1,0.3,9.9,0.4,7.7,0.3,13.5,0.7,13.7,0.4,13.2,0.4,12.4,0.5,14.1,0.6,17.4,0.5,19.4,0.6,21.1,0.8,13.0,0.7,11.4,0.4,14.4,0.5,17.4,0.7,5.4,0.5,11.0,0.3,14.6,0.5,18.6,0.6,3.7,0.4,3.9,0.2,5.6,0.3,7.2,0.4,0.8,0.1,3.3,0.2,4.6,0.3,6.2,0.4,0.8,0.2,46257,677,59764,816,74165,1179,25741,534,64632,778,78413,1195,93119,1554,37116,1004,37.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),38.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),35.8,(X)
0400000US02,02,Alaska,248468,2841,164102,4083,122168,3732,84366,4018,3.6,0.5,2.7,0.5,0.8,0.3,7.1,1.3,2.9,0.5,1.4,0.4,0.5,0.3,6.4,1.3,6.5,0.6,4.5,0.7,2.7,0.5,11.4,1.5,6.9,0.7,5.1,0.7,3.6,0.7,10.4,1.6,10.5,0.9,9.5,1.0,7.4,1.1,13.2,2.0,18.7,1.2,17.7,1.4,16.9,1.5,20.7,2.2,14.4,1.0,15.4,1.3,16.1,1.4,12.4,1.7,20.1,1.2,24.3,1.6,28.3,1.9,10.3,1.5,9.2,0.8,10.7,1.2,12.8,1.5,5.0,1.3,7.1,0.7,8.6,1.0,11.0,1.3,3.0,0.8,76440,2230,88604,2636,102909,2286,51252,2380,93312,2396,103554,2617,117306,3407,66330,3748,31.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),32.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),26.0,(X)
0400000US04,04,Arizona,2519052,11479,1648739,12489,1194185,12340,870313,12408,7.3,0.3,5.0,0.3,2.3,0.2,13.4,0.6,4.9,0.3,3.1,0.2,1.7,0.2,8.8,0.5,9.8,0.3,7.4,0.4,5.0,0.4,15.0,0.6,10.1,0.3,9.0,0.3,7.2,0.3,13.1,0.6,14.2,0.3,13.7,0.4,12.1,0.4,15.6,0.6,18.7,0.4,19.6,0.5,20.4,0.6,16.0,0.7,12.5,0.3,14.4,0.4,16.4,0.5,8.1,0.4,12.6,0.3,15.5,0.4,18.9,0.6,6.2,0.4,5.0,0.2,6.2,0.3,8.0,0.4,2.0,0.2,4.8,0.2,6.2,0.3,8.0,0.4,2.0,0.2,53558,634,63877,783,76533,850,34776,803,74053,837,85227,1130,98822,1481,49041,1002,37.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),38.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),32.6,(X)
0400000US05,05,Arkansas,1142718,7341,747917,9249,549997,9419,394801,9567,8.8,0.5,5.3,0.4,1.8,0.3,16.6,1.1,6.6,0.3,3.3,0.3,1.9,0.3,13.4,0.9,12.7,0.5,9.5,0.5,6.2,0.5,19.4,1.2,11.9,0.5,11.3,0.6,9.7,0.5,13.5,0.9,15.2,0.5,15.2,0.5,14.7,0.6,14.8,1.1,18.3,0.7,20.4,0.9,21.7,1.0,13.0,0.9,10.4,0.4,13.3,0.6,16.0,0.8,4.7,0.5,10.1,0.4,13.5,0.6,17.1,0.8,2.9,0.5,3.1,0.2,4.2,0.4,5.5,0.5,0.8,0.3,2.9,0.2,4.0,0.3,5.2,0.4,0.9,0.2,44334,921,55484,780,67295,1110,25339,843,61167,929,73091,1098,85445,1426,36518,1481,35.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),36.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),32.1,(X)
0400000US06,06,California,12944178,15703,8887761,26268,6406893,35137,4056417,24288,5.4,0.1,3.7,0.1,1.6,0.1,10.8,0.2,4.5,0.1,2.7,0.1,1.5,0.1,9.2,0.2,8.6,0.1,7.2,0.2,5.1,0.1,12.5,0.2,8.0,0.1,7.4,0.1,6.0,0.2,9.7,0.2,11.4,0.1,11.2,0.2,9.6,0.2,12.0,0.3,16.3,0.2,16.2,0.2,15.6,0.2,16.0,0.3,12.2,0.1,12.8,0.2,13.6,0.2,10.0,0.2,15.7,0.2,17.3,0.2,20.0,0.3,11.0,0.3,7.9,0.1,9.2,0.1,11.4,0.2,4.2,0.1,10.1,0.1,12.1,0.1,15.6,0.2,4.8,0.2,67739,356,77359,391,93776,575,44115,656,96961,419,108073,571,125953,722,66477,685,36.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),36.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),31.8,(X)
0400000US08,08,Colorado,2108992,7767,1347936,10110,1051388,10580,761056,10030,5.2,0.2,2.5,0.2,1.1,0.2,10.4,0.5,3.8,0.2,1.9,0.2,0.9,0.1,7.6,0.6,8.1,0.3,5.3,0.3,3.5,0.3,13.9,0.6,8.2,0.3,6.6,0.3,5.4,0.3,11.4,0.5,12.4,0.4,11.4,0.4,9.6,0.4,15.0,0.7,18.6,0.4,18.4,0.5,18.2,0.5,18.8,0.7,13.7,0.3,15.5,0.4,16.3,0.5,9.5,0.5,15.8,0.3,19.6,0.5,22.3,0.6,8.2,0.4,7.1,0.2,9.3,0.4,11.1,0.4,2.7,0.3,7.2,0.2,9.6,0.3,11.6,0.4,2.5,0.3,65685,636,80761,727,91379,872,40936,651,88246,926,104274,1291,116315,1455,56408,1236,31.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),32.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),30.1,(X)
0400000US09,09,Connecticut,1357269,7141,880600,11466,648449,8724,476669,8670,5.2,0.3,3.1,0.3,0.9,0.2,9.9,0.6,3.7,0.3,1.6,0.2,0.7,0.1,7.6,0.6,7.6,0.4,4.9,0.4,2.2,0.3,13.3,0.8,7.6,0.3,6.0,0.3,4.0,0.4,11.3,0.7,11.0,0.4,9.0,0.5,6.6,0.5,15.1,0.9,15.7,0.5,14.7,0.6,13.9,0.7,17.4,0.8,12.8,0.4,13.3,0.5,13.8,0.6,10.9,0.7,17.2,0.5,21.4,0.6,25.0,0.8,8.7,0.7,8.2,0.3,10.8,0.5,13.3,0.6,2.9,0.3,11.1,0.4,15.1,0.5,19.6,0.7,3.0,0.4,73433,1059,94449,1492,113757,1586,41608,998,105255,1275,127843,2108,150716,2469,59666,1498,35.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),35.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),31.7,(X)
0400000US10,10,Delaware,351085,3936,232433,5605,167306,5224,118652,4707,5.9,0.7,3.6,0.6,1.9,0.5,11.4,1.6,3.7,0.5,2.0,0.5,0.8,0.3,7.3,1.1,8.4,0.8,6.1,0.9,2.9,0.7,13.2,1.7,9.6,0.8,7.3,0.8,4.9,0.8,14.5,1.7,13.2,0.9,12.6,1.0,10.4,1.1,15.6,1.6,18.5,0.9,18.7,1.1,19.1,1.5,17.4,1.8,13.9,0.9,15.6,1.0,17.0,1.2,9.3,1.3,15.8,0.9,19.1,1.2,23.7,1.5,8.0,1.4,5.6,0.6,7.5,0.8,9.6,1.1,1.6,0.5,5.6,0.5,7.4,0.8,9.8,1.1,1.7,0.5,61757,1492,74251,3185,88558,2791,37052,1679,81349,1980,94643,2557,109845,3240,52015,2960,35.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),37.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),31.4,(X)
0400000US11,11,District of Columbia,281241,3152,122732,3407,71204,3680,158509,4136,10.7,1.0,6.9,1.3,0.8,0.5,13.9,1.5,5.2,0.7,3.6,0.9,0.8,0.6,6.6,1.1,6.9,0.8,5.9,1.1,1.9,0.8,8.0,1.2,6.4,0.9,6.5,1.5,2.2,1.0,6.6,1.1,7.6,0.9,7.9,1.5,5.1,1.6,7.7,1.1,12.9,1.0,11.0,1.6,8.0,1.6,14.4,1.2,10.0,0.8,8.5,1.2,7.8,1.7,10.9,1.2,15.7,0.9,15.6,1.6,20.1,2.2,15.6,1.2,9.4,0.9,10.7,1.5,15.9,2.2,8.3,1.0,15.1,0.9,23.4,1.5,37.5,2.4,7.9,0.9,75506,3416,98498,8129,157776,12169,61948,3112,114432,4518,148208,8228,205996,11344,85226,3990,33.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),36.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),30.5,(X)
